date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:03:04	245/245	U-----	200	untouched ('OK')	text/plain	etag:W/%22f5-lA4cVw6kBxPkasi4F4Byqoir18I%22	https://www.doclab.se/robots.txt		(from )
05:03:05	431630/431630	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2002%20Mar%202021%2005:03:04%20GMT	https://www.doclab.se/pcr-result/DLcm3b5j	C:/My%20Web%20Sites/PCR/www.doclab.se/pcr-result/DLcm3b5j.html	(from )
05:03:05	2760/2760	U-----	200	untouched ('')	image/png	date:Sun,%2021%20Feb%202021%2020:51:42%20GMT	https://static.wixstatic.com/media/160222_21887bf371174adf87e47c37a3334155~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/160222_21887bf371174adf87e47c37a3334155~mv2.png	C:/My%20Web%20Sites/PCR/static.wixstatic.com/media/160222_21887bf371174adf87e47c37a3334155_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/160222_21887bf371174adf87e47c37a3334155_mv2.png	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:03:05	137771/137771	U-----	200	untouched ('')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:03:05	37648/37648	U-----	200	untouched ('')	text/javascript	date:Wed,%2017%20Feb%202021%2017:54:30%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/PCR/polyfill.io/v3/polyfill.mind82c.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:03:05	1171/1171	U-----	200	untouched ('')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:03:41	128002/128002	U-----	200	untouched ('')	application/javascript	etag:W/%22981db114d936e9a7e9b92fcaf1ccf2a5%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.e07f0b3c.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.e07f0b3c.chunk.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:03:41	232449/232449	U-----	200	untouched ('')	application/javascript	etag:W/%224c2b6195efa9f65f417d0829d6959abf%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.cf6f5eb0.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/main.cf6f5eb0.chunk.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:03:41	73261/73261	U-----	200	untouched ('')	application/javascript	etag:W/%22bc0594c54450e8ac689739b6b198067a%22	https://static.parastorage.com/unpkg/lodash@4.17.15/lodash.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/unpkg/lodash@4.17.15/lodash.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:03:43	58325/58325	U-----	200	untouched ('')	application/javascript	etag:%2227315422580e3fc670b3db4a0f32598e%22	https://browser.sentry-cdn.com/5.21.4/bundle.min.js	C:/My%20Web%20Sites/PCR/browser.sentry-cdn.com/5.21.4/bundle.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
